n1	n47	78.6	3.23e-130	455
n1	n21	78.6	3.23e-130	455
n1	n4	74.9	3.03e-120	421
n1	n18	64.6	4.53e-108	381
n1	n75	61.5	2.66e-100	355
n1	n42	62.1	2.49e-98	349
n1	n68	50.0	6.17e-81	291
n1	n71	51.4	1.05e-80	290
n1	n7	51.2	1.98e-79	286
n1	n70	51.0	2.87e-78	282
n1	n66	49.5	3.74e-78	282
n1	n36	54.8	8.34e-78	280
n1	n77	49.7	1.09e-77	280
n1	n86	50.7	1.57e-76	276
n1	n60	53.2	2.68e-76	275
n1	n59	49.7	7.8e-76	274
n1	n89	53.2	1.02e-75	273
n1	n51	53.0	2.27e-75	272
n1	n76	48.2	3.87e-75	272
n1	n46	50.3	2.78e-73	265
n1	n15	50.3	2.78e-73	265
n1	n44	50.3	2.78e-73	265
n1	n61	50.6	3.62e-73	265
n1	n41	49.6	2.35e-72	262
n1	n25	49.7	3.07e-72	262
n1	n74	52.0	3.07e-72	262
n1	n80	49.7	4.01e-72	262
n1	n81	50.5	5.23e-72	261
n1	n45	49.3	6.84e-72	261
n1	n29	49.7	6.84e-72	261
n1	n14	49.3	6.84e-72	261
n1	n20	48.4	1.17e-71	260
n1	n19	46.4	1.52e-71	260
n1	n11	51.1	9.87e-71	257
n1	n30	51.1	9.87e-71	257
n1	n9	51.9	1.68e-70	256
n1	n26	51.3	1.68e-70	256
n1	n13	50.4	1.43e-69	253
n1	n8	50.6	2.43e-69	252
n1	n10	52.4	3.18e-69	252
n1	n27	49.0	4.15e-69	252
n1	n22	49.0	4.15e-69	252
n1	n53	48.7	5.42e-69	251
n1	n62	50.2	5.42e-69	251
n1	n31	49.6	5.42e-69	251
n1	n12	49.6	5.42e-69	251
n1	n23	49.1	5.42e-69	251
n1	n5	49.0	2.06e-68	249
n1	n69	48.4	2.06e-68	249
n1	n33	47.3	7.82e-68	247
n1	n56	49.0	1.33e-67	247
n1	n16	48.9	1.74e-67	246
n1	n54	48.9	6.62e-67	244
n1	n52	47.5	1.93e-66	243
n1	n6	48.4	2.52e-66	242
n1	n57	47.9	4.29e-66	242
n1	n2	47.7	4.29e-66	242
n1	n55	47.9	7.32e-66	241
n1	n78	44.9	9.56e-66	240
n1	n24	44.5	2.78e-65	239
n1	n64	48.5	4.74e-65	238
n1	n87	42.8	4.02e-64	235
n1	n58	42.9	5.25e-64	235
n1	n73	42.4	1.17e-63	233
n1	n72	44.5	1.17e-63	233
n1	n34	44.7	3.4e-63	232
n1	n32	44.5	4.16e-61	225
n1	n88	45.3	1.58e-60	223
n1	n28	41.9	8.67e-59	217
n1	n43	44.2	7.34e-58	214
n1	n83	40.6	3.19e-53	199
n1	n67	38.8	3.2e-45	172
n1	n82	36.9	1.39e-40	157
n1	n50	35.6	2.9e-38	149
n1	n79	34.5	3.2e-37	146
n1	n63	29.1	1.76e-27	113
n1	n40	30.1	6.27e-25	105
n1	n38	28.5	2.55e-18	83
n1	n90	26.8	1.11e-13	67
n1	n37	29.3	0.000467	35
n1	n49	27.3	0.000797	35
n1	n127	19.9	0.00232	33
n1	n123	34.9	0.00395	32
n1	n135	38.3	0.00516	32
n1	n125	24.1	0.015	30
n1	n85	26.6	0.0196	30
n1	n95	25.4	0.0437	29
n1	n123	29.8	1.08	24
n1	n96	25.5	1.08	24
n1	n109	33.3	1.84	23
n1	n133	30.0	1.84	23
n1	n92	24.2	2.4	23
n1	n111	27.7	5.34	22
n1	n168	28.6	6.98	22
n1	n85	31.6	9.12	21
n1	n98	26.9	9.12	21
n2	n54	98.5	1.62e-149	518
n2	n62	69.3	2.08e-104	369
n2	n53	69.5	3.55e-104	368
n2	n52	68.5	6.05e-104	367
n2	n81	67.7	4.33e-102	361
n2	n16	67.8	3.11e-100	355
n2	n78	66.2	4.06e-100	354
n2	n24	65.6	6.92e-100	354
n2	n30	64.8	5.86e-99	351
n2	n11	64.8	5.86e-99	351
n2	n13	64.8	7.65e-99	350
n2	n46	64.6	2.23e-98	349
n2	n44	64.6	2.23e-98	349
n2	n26	64.6	2.23e-98	349
n2	n6	64.7	2.23e-98	349
n2	n15	64.6	2.23e-98	349
n2	n80	64.6	2.91e-98	348
n2	n29	64.6	6.48e-98	347
n2	n8	64.3	1.88e-97	346
n2	n72	64.9	1.88e-97	346
n2	n31	64.0	3.21e-97	345
n2	n12	64.0	3.21e-97	345
n2	n25	63.9	9.35e-97	343
n2	n14	63.9	1.22e-96	343
n2	n45	63.9	1.22e-96	343
n2	n22	64.3	1.6e-96	342
n2	n27	64.3	1.6e-96	342
n2	n10	63.6	1.76e-95	339
n2	n64	62.2	8.75e-95	337
n2	n23	62.7	3.33e-94	335
n2	n5	62.1	1.26e-93	333
n2	n9	62.2	6.27e-93	330
n2	n56	63.1	4.07e-92	328
n2	n57	63.1	6.94e-92	327
n2	n74	60.8	4.5e-91	324
n2	n55	62.3	5.87e-91	324
n2	n87	63.1	1e-90	323
n2	n73	60.1	3.22e-89	318
n2	n28	56.5	1.11e-81	293
n2	n32	51.9	7.95e-80	287
n2	n33	54.7	1.66e-77	279
n2	n18	50.7	9.1e-76	273
n2	n34	52.7	1.01e-74	270
n2	n42	49.1	3.82e-74	268
n2	n58	52.7	6.1e-72	261
n2	n83	52.5	1.15e-70	257
n2	n69	50.8	1.5e-70	256
n2	n21	48.9	5.71e-70	254
n2	n47	48.9	5.71e-70	254
n2	n70	48.3	1.66e-69	253
n2	n4	48.5	8.25e-69	250
n2	n51	47.6	1.84e-68	249
n2	n68	48.9	3.14e-68	248
n2	n76	48.1	5.35e-68	248
n2	n7	47.6	5.91e-67	244
n2	n66	48.3	1.72e-66	243
n2	n19	46.7	1.46e-65	240
n2	n77	46.3	2.48e-65	239
n2	n36	46.4	4.24e-65	238
n2	n61	45.9	9.44e-65	237
n2	n59	44.5	6.76e-63	231
n2	n41	46.9	6.76e-63	231
n2	n86	45.3	8.84e-63	230
n2	n75	45.6	2.57e-62	229
n2	n89	43.4	4.85e-61	225
n2	n60	44.3	8.27e-61	224
n2	n20	44.2	8.27e-61	224
n2	n71	43.0	1.41e-60	223
n2	n88	44.6	4.54e-59	218
n2	n43	40.5	1.32e-50	190
n2	n67	33.7	1.24e-32	130
n2	n82	33.2	2.12e-32	129
n2	n50	31.7	2.87e-29	119
n2	n79	30.6	2.69e-27	112
n2	n63	28.8	4.29e-25	105
n2	n40	31.2	2.78e-24	102
n2	n38	28.8	6.86e-15	71
n2	n90	26.8	6.01e-11	58
n2	n134	27.3	1.64e-08	50
n2	n108	28.5	0.00011	37
n2	n97	31.3	0.00159	33
n2	n85	26.5	0.00159	33
n2	n17	27.3	0.00461	32
n2	n110	29.5	0.00787	31
n2	n96	26.5	0.0103	31
n2	n120	20.8	0.0134	30
n2	n85	21.4	0.0175	30
n2	n49	25.6	0.039	29
n2	n127	24.2	0.051	28
n2	n135	32.1	0.051	28
n2	n105	26.9	0.051	28
